Bus,DeviceType,P_pu,Q_pu,I_pu,CurrentAngle_deg,Pmin_pu,Pmax_pu,Qmin_pu,Qmax_pu
1660,1,0.006,0.001,0.0010011903045467,144.008171878618,-Inf,Inf,-0.005,0.005
3246,1,0.006,0.001,0.00613340679783555,-177.031773224205,-Inf,Inf,-0.005,0.005
2322,1,0.006,0.001,0.00616569871683489,-60.2773820990356,-Inf,Inf,-0.005,0.005
729,1,0.006,0.001,0.0056420332177956,-99.6038268338922,-Inf,Inf,-0.005,0.005
2385,1,0.006,0.001,0.00615314446351467,-73.6297426739194,-Inf,Inf,-0.005,0.005
419,1,0.006,0.001,0.0039089779293947,6.46116424796959,-Inf,Inf,-0.005,0.005
3397,1,0.006,0.001,0.00611322587061596,149.561038400622,-Inf,Inf,-0.005,0.005
2278,1,0.006,0.001,0.00615854515316252,-59.726060866064,-Inf,Inf,-0.005,0.005
568,1,0.006,0.001,0.00768641609165447,146.526057701447,-Inf,Inf,-0.005,0.005
32,1,0.006,0.001,0.00635960662876201,128.445920574756,-Inf,Inf,-0.005,0.005
2971,1,0.006,0.001,0.00613306947778685,-169.497548313336,-Inf,Inf,-0.005,0.005
3793,1,0.006,0.001,0.00608467787855691,142.74208195405,-Inf,Inf,-0.005,0.005
297,1,0.006,0.001,0.00444652240501422,159.096941418644,-Inf,Inf,-0.005,0.005
2970,1,0.006,0.001,0.00613050430191324,-169.412529810414,-Inf,Inf,-0.005,0.005
3367,1,0.006,0.001,0.00636095379575935,160.76281203777,-Inf,Inf,-0.005,0.005
3457,1,0.006,0.001,0.00609911854298134,149.316847307658,-Inf,Inf,-0.005,0.005
433,1,0.006,0.001,0.00486994579488808,0.293290157645536,-Inf,Inf,-0.005,0.005
3562,1,0.006,0.001,0.00608980870133127,147.94614005477,-Inf,Inf,-0.005,0.005
1858,1,0.006,0.001,0.00619974501428035,10.8872195413691,-Inf,Inf,-0.005,0.005
1902,1,0.006,0.001,0.00613514941953819,3.94199379245993,-Inf,Inf,-0.005,0.005
3607,1,0.006,0.001,0.00609057858054725,147.877943301012,-Inf,Inf,-0.005,0.005
3714,1,0.006,0.001,0.00608846574613421,145.990173519905,-Inf,Inf,-0.005,0.005
3521,1,0.006,0.001,0.00609413380747905,148.807011951897,-Inf,Inf,-0.005,0.005
3019,1,0.006,0.001,0.00613020357797068,-170.546341960524,-Inf,Inf,-0.005,0.005
3419,1,0.006,0.001,0.00610061505944157,149.40651878497,-Inf,Inf,-0.005,0.005
3918,1,0.006,0.001,0.0060895602829196,141.367918029085,-Inf,Inf,-0.005,0.005
31,1,0.006,0.001,0.00634610677279148,128.518668740665,-Inf,Inf,-0.005,0.005
3238,1,0.006,0.001,0.00612892100275479,-176.810210532438,-Inf,Inf,-0.005,0.005
2882,1,0.006,0.001,0.00648570410406974,-161.835168653737,-Inf,Inf,-0.005,0.005
2643,1,0.006,0.001,0.00616110789181783,-87.5712175764601,-Inf,Inf,-0.005,0.005
1803,1,0.006,0.001,0.00622008293876928,46.3085356831586,-Inf,Inf,-0.005,0.005
426,1,0.006,0.001,0.00564759265062742,-2.44397000633215,-Inf,Inf,-0.005,0.005
1091,1,0.006,0.001,0.00403449171161361,-6.0349997917433,-Inf,Inf,-0.005,0.005
632,1,0.006,0.001,0.014457924588076,-122.603048758235,-Inf,Inf,-0.005,0.005
3103,1,0.006,0.001,0.00612049247899018,-174.195750159496,-Inf,Inf,-0.005,0.005
3096,1,0.006,0.001,0.00611486904023592,-173.893514154528,-Inf,Inf,-0.005,0.005
2065,1,0.006,0.001,0.00622290494853703,-46.7816479542828,-Inf,Inf,-0.005,0.005
115,1,0.006,0.001,0.0847765380565449,96.9255755133014,-Inf,Inf,-0.005,0.005
3921,1,0.006,0.001,0.00609010970929832,141.319211272042,-Inf,Inf,-0.005,0.005
1830,1,0.006,0.001,0.00619665142995875,13.6989721845056,-Inf,Inf,-0.005,0.005
1946,1,0.006,0.001,0.00630065452887033,-13.7315304114852,-Inf,Inf,-0.005,0.005
2267,1,0.006,0.001,0.0061683836155918,-60.5283929810991,-Inf,Inf,-0.005,0.005
178,1,0.006,0.001,0.00637075377684563,46.2448205044533,-Inf,Inf,-0.005,0.005
1152,1,0.006,0.001,0.00446720707905084,10.7784620748696,-Inf,Inf,-0.005,0.005
2160,1,0.006,0.001,0.00618488676329317,-54.0081137299035,-Inf,Inf,-0.005,0.005
840,1,0.006,0.001,0.00581109283277373,-72.3193819839889,-Inf,Inf,-0.005,0.005
2064,1,0.006,0.001,0.0062137441593482,-48.0828875371254,-Inf,Inf,-0.005,0.005
1687,1,0.006,0.001,0.00188629908826587,43.0702530024732,-Inf,Inf,-0.005,0.005
1725,1,0.006,0.001,0.00370926379323615,64.0568154621104,-Inf,Inf,-0.005,0.005
2485,1,0.006,0.001,0.00612947293234915,-77.1230717538032,-Inf,Inf,-0.005,0.005
1554,1,0.006,0.001,0.00451260573839926,33.1953273951496,-Inf,Inf,-0.005,0.005
1547,1,0.006,0.001,0.00502554543301382,32.4233711090856,-Inf,Inf,-0.005,0.005
2391,1,0.006,0.001,0.0061145320742725,-73.3901588208834,-Inf,Inf,-0.005,0.005
1520,1,0.006,0.001,0.00516557931031884,29.274273201452,-Inf,Inf,-0.005,0.005
2542,1,0.006,0.001,0.00611392651876855,-80.1610398674559,-Inf,Inf,-0.005,0.005
3233,1,0.006,0.001,0.00612903969354741,-176.829230870041,-Inf,Inf,-0.005,0.005
2666,1,0.006,0.001,0.00638222394050788,-105.216060194752,-Inf,Inf,-0.005,0.005
1572,1,0.006,0.001,0.00491699634711594,43.6465914590731,-Inf,Inf,-0.005,0.005
3166,1,0.006,0.001,0.00611849129085744,-175.448430535613,-Inf,Inf,-0.005,0.005
2654,1,0.006,0.001,0.00609602155335316,-88.1655248586068,-Inf,Inf,-0.005,0.005
975,1,0.006,0.001,0.00513274333716067,-43.698450349603,-Inf,Inf,-0.005,0.005
2969,1,0.006,0.001,0.00612818579068478,-169.305896674727,-Inf,Inf,-0.005,0.005
62,1,0.006,0.001,0.00605393759403562,127.204774728073,-Inf,Inf,-0.005,0.005
2452,1,0.006,0.001,0.00610554393915576,-77.0174614436671,-Inf,Inf,-0.005,0.005
1357,1,0.006,0.001,0.00584791878021058,22.5649235855208,-Inf,Inf,-0.005,0.005
3076,1,0.006,0.001,0.00611944275585547,-172.93433271168,-Inf,Inf,-0.005,0.005
3144,1,0.006,0.001,0.0061207113472908,-176.025258190887,-Inf,Inf,-0.005,0.005
2759,1,0.006,0.001,0.00622600441365547,-122.531051500221,-Inf,Inf,-0.005,0.005
76,1,0.006,0.001,0.00891733020789248,111.804173392144,-Inf,Inf,-0.005,0.005
1193,1,0.006,0.001,0.00476026920387975,15.1104126870487,-Inf,Inf,-0.005,0.005
268,1,0.006,0.001,0.0044102918673496,117.426992556208,-Inf,Inf,-0.005,0.005
2522,1,0.006,0.001,0.00611798776903688,-79.5972820559601,-Inf,Inf,-0.005,0.005
1767,1,0.006,0.001,0.00618370454935275,44.0301007449802,-Inf,Inf,-0.005,0.005
2845,1,0.006,0.001,0.006642276096327,-155.975464970772,-Inf,Inf,-0.005,0.005
2916,1,0.006,0.001,0.00636628336520523,-164.562412673769,-Inf,Inf,-0.005,0.005
170,1,0.006,0.001,0.00603889141358693,85.3283300528511,-Inf,Inf,-0.005,0.005
86,1,0.006,0.001,0.0138028454681003,104.919332816555,-Inf,Inf,-0.005,0.005
2056,1,0.006,0.001,0.00610282155947205,-41.4149821673742,-Inf,Inf,-0.005,0.005
1437,1,0.006,0.001,0.00582952085559694,25.5090512119138,-Inf,Inf,-0.005,0.005
1961,1,0.006,0.001,0.0067756948966758,-21.1475007373238,-Inf,Inf,-0.005,0.005
1170,1,0.006,0.001,0.0044981485270867,11.2713715763271,-Inf,Inf,-0.005,0.005
600,1,0.006,0.001,0.0116870016486695,-121.909715240844,-Inf,Inf,-0.005,0.005
3256,1,0.006,0.001,0.00615469579214281,-177.755745709069,-Inf,Inf,-0.005,0.005
3638,1,0.006,0.001,0.00609064847619704,147.376676204467,-Inf,Inf,-0.005,0.005
3140,1,0.006,0.001,0.00611854930113259,-175.538268373745,-Inf,Inf,-0.005,0.005
435,1,0.006,0.001,0.00459423339055317,2.57694698444204,-Inf,Inf,-0.005,0.005
601,1,0.006,0.001,0.0133347924614662,-121.297779420644,-Inf,Inf,-0.005,0.005
1445,1,0.006,0.001,0.00575931623340385,25.7614993631128,-Inf,Inf,-0.005,0.005
3849,1,0.006,0.001,0.00608492866161465,141.558800847208,-Inf,Inf,-0.005,0.005
611,1,0.006,0.001,0.0209859125581278,-120.141931320262,-Inf,Inf,-0.005,0.005
286,1,0.006,0.001,0.00622956803306411,101.961693702156,-Inf,Inf,-0.005,0.005
3670,1,0.006,0.001,0.00609036773452744,147.229088441535,-Inf,Inf,-0.005,0.005
