Bus,V_pu,Angle_deg,P_pu,Q_pu,Iinj_pu
134,-0.833823547686582,-706.177085403123,9.96827880062045,6.96406694284087,14.5833822708632
135,-0.929865141637586,-731.872158904434,5.02957346109011,12.3185519424169,14.3093471137356
136,-0.920832518331838,-729.190105231023,0.0263823417789926,0.0777723057124366,0.0891858893433695
137,-0.91261566020117,-726.839264680986,0.00090668673478532,0.0466657556864108,0.0511437235537867
138,-0.898758398769374,-723.009171028699,0.180581776668124,0.166077122046853,0.272975845092848
139,-0.882215365409114,-718.980368980788,1.16611897923194,1.62694495833606,2.26894157925379
140,-0.936946371666119,-734.439173533854,0.628377124791719,1.5180809076222,1.75356188195449
141,-0.980627556751932,-750.405240693465,0.814496501891401,3.86366894873536,4.02659231096651
142,-0.943866472661891,-736.203850990407,0.547701963496324,1.28362846540671,1.47859142930673
143,-0.926846385208902,-730.513533143204,0.0840855613912874,0.0723375984999943,0.119673967520164
144,-0.890308214745394,-720.397098420315,0.426518724608506,0.725968391968676,0.945729445077661
145,-0.8532392915655,-711.531750171073,0.423023958785108,0.468043762148122,0.739398312247937
146,-0.795409935438394,-699.86904999858,0.603822099461325,0.673531523621609,1.13723676653288
147,-0.719712533572809,-686.93853575835,0.528730692828959,0.430235926797821,0.947126867921303
148,-0.642304361182054,-675.804192993635,0.413322012218317,0.304549630961838,0.799318637398921
149,-0.568777838435105,-666.478236441651,0.40823921541151,0.227813608805768,0.821941640637163
150,-0.491100162496525,-657.770528921605,0.237065663786631,0.109494795847109,0.531725936538698
151,-0.425904378364518,-651.094238412546,1.31752700481095,0.557952041678644,3.35943890300068
152,-0.292713216780516,-638.945335726306,1.22571074593412,0.109088367833182,4.20396325680964
153,-0.33940011708099,-643.238748156964,-0.0159043890301712,0.0035047229563332,0.0479845607466878
154,-0.358248900377623,-644.921611461676,0.0821331670161504,0.0142017234555138,0.232664890082252
155,-0.386244085647812,-647.665125116327,0.0567289538542378,0.023532808004982,0.159009149540657
156,-0.431215601165225,-652.345848113496,-0.0380958249339792,-0.00585622707542066,0.0893829368300895
157,-0.449901242856755,-654.240009335005,0.0959127375847183,0.0296906271507476,0.223167021478916
158,-0.4809189556322,-657.614042794077,0.0526231625656472,0.0274552914657522,0.123419512434122
159,-0.521644855056796,-662.217664389915,0.0418984614164913,0.0233324840482313,0.0919344358138033
160,-0.544033332180465,-664.819861859326,0.0529888465350399,0.0298496533759262,0.111790801459412
161,-0.564100163041583,-667.229608773432,0.00433396654929001,0.00328934723248071,0.00964522049029892
162,-0.577558961340588,-668.864940262926,-0.0152348176280514,-0.00166421288365129,0.0265348584204603
163,-0.59126558300329,-670.522279566375,0.103322221031034,0.0608745084885035,0.202821863680579
164,-0.627686637332918,-675.119963781236,1.62494183083289,0.921717142726806,2.97625222821629
165,-0.743318756922826,-692.755253854921,1.77485319281438,1.51558169010308,3.13983807755228
166,-0.822331558171338,-707.672466422464,1.19425324293614,1.29514495004667,2.14234199171406
167,-0.875833562223235,-720.008137070972,1.58710510270976,3.02867405559074,3.90407841677076
168,-0.959037721623757,-746.117206134594,1.69553148244581,4.49135963966907,5.00579218071458
169,-1.00504742616518,-773.794946344219,0.832675268221045,5.50620050265461,5.54083829266734
170,-1.00726476329953,-805.209347739123,-10.6721207774301,26.6064808877844,28.4602794013794
171,-1.00998330876991,-771.944383513945,4.6907621079825,14.5459734995399,15.1325326598774
172,-1.02174117597944,-778.860258756362,1.4891355791489,2.98517203354847,3.2649972606681
173,-1.02541112490956,-794.733259400353,0.569703922192106,5.51654655473202,5.40845090130138
174,-1.01609303265025,-812.060996621815,-0.00839048725637342,4.91953736174354,4.84162803880199
175,-0.982273865673196,-833.238334160182,-0.704505344830037,5.1753009734693,5.31728739810102
176,-0.977725139494253,-835.258163256097,-0.168569237651964,0.342350273823028,0.390294727417975
177,-0.964804583071089,-840.614898645279,0.0415127913652439,0.0126358448492756,0.0449762335208443
178,-0.954794792479015,-844.292857287521,-0.0679198986030888,0.240796832009434,0.262037855479357
179,-0.941134346507799,-849.087402819493,0.00918856640274328,0.0503123452719037,0.0543434838414435
180,-0.929875686694824,-852.699337627911,0.065526722902476,-0.0896423013528516,0.119411932675189
181,-0.922979412131504,-854.795876982825,-0.1370809980858,0.255855696133567,0.314486163405997
182,-0.910322385801188,-858.354007142102,-0.0683344815163659,0.124160723032134,0.155684707544468
183,-0.895821308095428,-862.132547856191,-0.0372593649499096,0.0795295741703109,0.0980384161366579
184,-0.878545486246113,-866.310805770288,-0.121136807162206,0.164411931999373,0.232451280427065
185,-0.861095079262374,-870.173389986179,-0.0348035298045545,0.0669201544670473,0.0875970506092834
186,-0.843094405864324,-873.934509073687,0.0480362963365104,-0.0269762575149985,0.0653458109693236
187,-0.831708724482445,-876.271599182186,-0.0425222279666748,0.0682528428592198,0.0966866293745136
188,-0.817421874119505,-879.064555197601,-0.140651000085121,0.152340265226129,0.253652286667353
189,-0.80178220612356,-881.85285216749,-0.121756332644505,0.176777600832781,0.267716971373277
190,-0.819663187349796,-878.638268486342,-0.115252243064682,0.115952041203238,0.199456153007329
191,-0.843922762683605,-873.851400796699,-0.145287242662866,0.175446497940796,0.269922155812617
