P,Q,V_mag,V_theta,I_max_tail,I_min_tail,I_avg_tail,Iphase_max_tail,Iphase_min_tail,Iphase_avg_tail,I1_avg_tail,I2_avg_tail,I3_avg_tail,V1_avg_tail,V2_avg_tail,V3_avg_tail,V_avg_tail,Vphase_avg_tail,P_avg_tail,Q_avg_tail,V1_inv_tail,V2_inv_tail,V3_inv_tail,I1_inv_tail,I2_inv_tail,I3_inv_tail
100.0,0.0,50.0,60.0,0.3771408963827241,0.0210787452348537,0.24130387196148528,3.137751980442633,-3.140596205013848,1.6937891282123452,5.143260041994373,5.144351392152166,5.1461592773063245,17.65013263101603,17.651576744037364,17.60141686696858,0.22566600575018678,0.5294128730570256,-0.05877162474095065,2.909448540922183,0.7524239862555943,0.749738402101375,0.7513688578159247,0.6509621097908881,0.6512597001617094,0.6510813490708778
90.0,20.0,50.0,120.0,0.3811659266439545,0.0113720868128611,0.24192273072316844,3.1400130459623354,-3.140153143637069,-0.2029996951591374,5.156759162819914,5.142704695277516,5.1504488049342045,17.791170879174242,17.823014036214936,17.801396564957265,0.22801775804973248,0.7000894747640264,-0.06392481568798494,2.9411253494197,0.7563921658319409,0.7563491485627718,0.7569674087180465,0.6516905115191677,0.6508524961460668,0.6527390852619553
20.0,0.0,40.0,30.0,0.339468015125062,0.0105871298810935,0.21218995411887778,3.133817793288983,-3.1390965129792474,1.2984431326849608,5.02036581382891,5.021981900907779,5.021884998260672,16.21603682475545,16.225851656440827,16.27634749047752,0.21675147360261215,0.11301365097451446,-0.051613833450872955,2.9431619369796262,0.7417895740288901,0.7433375093666778,0.74432533455134,0.6353368290730987,0.6354787354909534,0.6353305420760859
50.0,50.0,0.0,30.0,0.2565106237877631,0.1811469297691457,0.21848228325794947,2.7670995481436664,1.1309240310165898,2.0109382481812945,3.4358048008735333,3.4194642146685617,3.4204052027971086,9.353589744447632,9.377460343572313,9.374348205900622,0.1482135504541131,-2.140513941723588,0.00792737668632801,1.4607477162450835,0.5132610939392747,0.5115967093476903,0.5118130900101385,0.4338445794275978,0.43191661387517677,0.4340159948406134
0.0,50.0,20.0,120.0,0.3164985293454442,0.0099946141476092,0.20449164838819223,3.1289242512665925,-3.1413269578022445,-1.153503859629943,4.205715807850813,4.204587023864406,4.208474801008038,11.782185484073388,11.826257339742876,11.668917338984057,0.14647298825455096,0.18506131948137394,-0.0477257274878185,2.0668467505557833,0.6111045272844385,0.6100365040969549,0.6106951787737785,0.5320135173805358,0.5320310580881061,0.5325451109404377
20.0,50.0,70.0,0.0,0.4164244787112163,0.1378345104239918,0.3023292147965967,1.6763224668370558,0.681030464857997,1.162869907409332,5.112829598864971,5.113433974414919,5.1158914456144275,20.571517979474656,20.57682540064493,20.57595715655109,0.22377286585218314,-0.09801889598355222,-0.05886907473018412,2.4494303057667786,0.7368713773034475,0.7368144949541899,0.7371180422728457,0.6472796108479328,0.6476899554994757,0.6475665294660784
50.0,20.0,40.0,30.0,0.3377747478710328,0.0146899656822778,0.21222678839001058,3.133754167678879,-3.134843985023356,1.2525685888229317,5.031948273232056,5.028273329715252,5.036714140319028,16.260465643992767,16.288245794198108,16.346024311279532,0.21957640647684834,0.1255599434127149,-0.05194482582494238,2.963975940735389,0.7439016188552762,0.7450534485649357,0.7458036083760174,0.6362092398576401,0.6367845346511297,0.6372632574315954
100.0,0.0,100.0,120.0,0.5651485372702778,0.2064953410473512,0.4133984349974636,3.130584599899912,-3.1404030004590244,-0.2532962643748743,5.997446311572007,5.99296748115532,5.987391205540655,26.80557166100921,26.82665934105018,26.816367765696405,0.3214261252150696,2.052647075991745,-0.07316231526766583,2.6424628687905805,0.82046498028082,0.8196847725148337,0.8216196286095019,0.7600447947959682,0.7586681816221551,0.7591475250506834
20.0,0.0,70.0,0.0,0.4184836334554442,0.1206323137516364,0.2998283877006834,1.7001319215024036,0.6328157426878872,1.1600432569788919,5.195240057191509,5.19092703058626,5.202698390725164,20.706963368433733,20.768501662887388,20.748243716366613,0.2289903631898104,-0.09730777390427121,-0.05324257533836497,2.5751555583387677,0.7511910092547688,0.7501268732647001,0.7507758669063269,0.6572003393470458,0.6580326571257821,0.658604591275578
50.0,20.0,80.0,30.0,0.4681093254318779,0.1382016621255312,0.3380628800827264,2.202294546869173,1.1549687685235317,1.6711113735660503,5.493389627960702,5.49103139536004,5.484138874019643,23.117074716254844,23.038825480604853,22.987812605350484,0.25976413235618856,0.4435781736065823,-0.06651682548529128,2.7260371858109744,0.7909339778986171,0.7888455398505858,0.791055552266254,0.6958434804562291,0.6946953813439164,0.6951138310589635
