P,Q,V_mag,V_theta,I_max_tail,I_min_tail,I_avg_tail,Iphase_max_tail,Iphase_min_tail,Iphase_avg_tail,I1_avg_tail,I2_avg_tail,I3_avg_tail,V1_avg_tail,V2_avg_tail,V3_avg_tail,V_avg_tail,Vphase_avg_tail,P_avg_tail,Q_avg_tail
90.0,20.0,30.0,-30.0,2.108452683584823,2.095286538221288,2.1017511923430634,-0.6015367825006521,-0.7731430841385097,-0.6723677137839007,2.101841369186933,2.1025919638198554,2.1009670781140604,6.100793552878837,6.096413396507384,6.096978250312837,6.103819906720951,-0.7164962517036597,0.1881520059063979,0.09762046041536515
20.0,50.0,120.0,60.0,1.0100859373780158,0.9683805189848584,0.9833804541906073,-0.8701922648450352,-0.916990677522248,-0.9002679413913522,0.9842778202356698,0.9839486672082512,0.9826263060090792,34.3378134631059,34.326785853301395,34.3380670766902,34.15733295459761,0.5504885262712942,0.3512436610200649,0.5006955278620602
20.0,20.0,80.0,60.0,0.580779293831414,0.5726385779689556,0.5787733501984687,-0.6396537698330823,-0.659610040651604,-0.6461405632329955,0.5795326983526204,0.5803051332474772,0.5773097313709736,22.568574439118233,22.563655798122497,22.5691658290094,22.52950040901004,0.5544779290721751,0.17628137181431636,0.15282615922781295
50.0,50.0,30.0,60.0,1.7079324137462712,1.6431278977427437,1.6861207743207722,-0.2803109939721153,-0.5451706449121906,-0.36498873323034287,1.6878018754027335,1.6884667427117168,1.6857694772749519,9.471624628262607,9.470863114117666,9.477552656964104,9.463575966035007,0.7771898714555823,0.2243767948239082,0.29841769718965
90.0,0.0,90.0,-30.0,1.9032987149043972,1.8995600304880236,1.9007304753394638,-1.2613764115367376,-1.2656750597203248,-1.2643405075722078,1.9009893021511295,1.9009183515284298,1.9003432889696812,24.073968183315984,24.07537399005559,24.069024554522294,24.039467167095257,-0.933101395918347,0.7775206248927996,0.020807571507588253
90.0,20.0,80.0,-60.0,1.938221494689839,1.9273410861820324,1.9291952294019081,-1.9710020071022667,-1.983202810308513,-1.9808416288139439,1.9288183707325315,1.9289538057529072,1.9295054357473527,21.890531389564174,21.901230862894884,21.902860285111448,21.862266156967497,-1.4380833987811001,0.7311191036929389,0.19159349293688918
0.0,100.0,0.0,120.0,2.1151208881956656,2.100805858001933,2.107849423445787,-2.550028983725685,-2.5847679325291857,-2.5680615730613727,2.1086983315178194,2.106656696891439,2.108660147462696,3.220505096997556,3.216051863936749,3.2115656516181654,3.1829514355742003,-0.47658180562292,0.0010736174933873035,0.3327532027145367
50.0,0.0,10.0,120.0,1.3330821066134328,1.1634951881037685,1.2500447361967861,2.044601678963648,0.5710803500213281,1.4065848720803042,1.2527617234175146,1.2571957456913763,1.2564017543496173,2.7917018081005933,2.789354395030987,2.784981817050643,2.685807901139897,2.2551024905087287,0.05158292385180756,0.09934320059398985
100.0,0.0,0.0,30.0,2.115517710588889,2.100272074052899,2.106889636692973,3.138001066485657,-3.1392620674357183,0.05732828824318029,2.106323822438738,2.108170791264609,2.1081903471689416,3.259088505745051,3.2545722613238444,3.256827675389317,3.22860429374986,-1.1223553507936659,0.001087760444834863,0.33755110806089755
20.0,20.0,50.0,-30.0,0.7571903198022094,0.7465366273231671,0.7500296415210561,-2.342785786756448,-2.3798805010930697,-2.367371283145829,0.7486295124107715,0.7515564541648658,0.7500668266426421,14.599059396599007,14.609620237182616,14.607185898786808,14.578842130806219,-0.9930401909689157,0.1251047149158006,0.16732231725227192
20.0,50.0,10.0,-60.0,1.5322244870085675,1.5161504251277125,1.5241877265946793,-2.3246723771363205,-2.416788993782089,-2.3734298069053623,1.5236818760178965,1.5246867948155813,1.524081720484278,4.06955723666599,4.074741831688537,4.075090064879307,4.046172823597914,-0.9929810261857118,0.07025005895058604,0.1934867586369771
100.0,0.0,0.0,-60.0,2.115517710588889,2.100272074052899,2.106889636692973,3.138001066485657,-3.1392620674357183,0.05732828824318029,2.106323822438738,2.108170791264609,2.1081903471689416,3.259088505745051,3.2545722613238444,3.256827675389317,3.22860429374986,-1.1223553507936659,0.001087760444834863,0.33755110806089755
